Age,ICSS
0-14,0
15-19,164
20-24,215
25-29,416
30-34,842
35-39,"1,874"
40-44,"3,489"
45-49,"4,906"
50-54,"7,094"
55-59,"9,641"
60-64,"13,359"
65-69,"14,234"
70-74,"14,766"
75-79,"14,131"
80-84,"9,347"
85+,"5,522"
All,100000
