Cancer,Concept code,Concept description,Vocabulary
Breast,46270923,Carcinoma of central portion of breast,SNOMED
Breast,45768522,Triple-negative breast cancer,SNOMED
Breast,40492507,Infiltrating duct carcinoma of female breast,SNOMED
Breast,40486563,Carcinoma of female breast,SNOMED
Breast,40480651,Mucinous carcinoma of breast,SNOMED
Breast,40480215,Mixed ductal and lobular carcinoma of breast,SNOMED
Breast,37310457,Locally advanced breast cancer,SNOMED
Breast,XXXX,XXXX,XXXX
